2025/07/04 15:11:27 Loading cert from /certs/cert.pem
2025/07/04 15:11:27 Loading key from /certs/key.pem
2025/07/04 15:11:27 Opened archive /workdir/archive.wprgo
2025/07/04 15:11:27 Loading script from deterministic.js
2025/07/04 15:11:27 Use Ctrl-C to exit.
2025/07/04 15:11:27 Starting server on http://127.0.0.1:8080
2025/07/04 15:11:27 Starting server on https://127.0.0.1:8081
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/): serving 200, 9828 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 15:17:10 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/uploads/2017/10/cropped-tma-conference-logo.png): serving 200, 131223 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:17:11 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:17:13 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 475 bytes
2025/07/04 15:17:13 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:17:13 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:17:29 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:17:30 ScriptInjector(https://tma.ifip.org/2017/): succesfully injected
2025/07/04 15:17:30 ServeHTTP(https://tma.ifip.org/2017/): serving 200, 14184 bytes
2025/07/04 15:17:30 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
